,fr_yn,bldng_us,bldng_archtctr,bldng_cnt,bldng_ar,ttl_ar,lnd_ar,ttl_grnd_flr,ttl_dwn_flr,bldng_us_clssfctn,tmprtr,wnd_spd,wnd_drctn,hmdt,jmk,rgnl_ar_nm,lnd_us_sttn_nm,fr_sttn_dstnc,bldng_ar_prc,fr_wthr_fclt_dstnc,fr_mn_cnt,mlt_us_yn,cctv_dstnc,fr_wthr_fclt_in_100m,cctv_in_100m,tbc_rtl_str_dstnc,sft_emrgnc_bll_dstnc,ahsm_dstnc,no_tbc_zn_dstnc,bldng_cnt_in_50m,dt_of_fr_hr,dt_of_fr_mth,화재시점나이,한채당가용면적,면적대비예상채수,예상채수초과,한채당평균지상층수,한채당평균지하층수,예상평균층당면적,season,계절평균온도차,반대풍향여부,측면도로크기,차량통행가능여부
0,1,0,6,1,583.8,2516.76,1446.0,5.0,0.0,6,15.5,2.0,90.0,21.0,1,15,14,3340,618105.0,143,137.0,0,165,0,0,277,31197,12451,72,14,14,10,16.0,1446.0,2.4768756423432685,0,5.0,0.0,503.35200000000003,0,0.08368673050615527,0,4,0
1,1,3,6,1,96.66,149.04,486.0,2.0,0.0,6,27.8,4.5,180.0,11.0,2,11,5,4278,899087.0,294,137.0,0,210,0,0,1425,29709,11690,206,0,15,4,3.0,486.0,5.027932960893855,0,2.0,0.0,74.52,2,13.906736996728318,0,2,1
2,0,3,6,1,44.22,129.55,82.0,3.0,0.0,6,10.3,0.9,340.0,24.0,2,15,11,2215,652729.0,79,137.0,0,113,1,0,474,31441,11505,52,12,12,11,22.0,82.0,1.854364540931705,0,3.0,0.0,43.18333333333334,0,-5.116313269493844,1,2,1
3,1,3,3,4,81.36,81.36,640.0,1.0,0.0,6,6.2,0.1,0.0,93.0,2,15,20,3536,1129748.0,107,137.0,0,95,0,0,739,30400,11694,58,3,9,11,35.0,160.0,7.866273352999017,0,0.25,0.0,81.36,0,-9.216313269493845,1,0,0
4,0,0,6,1,583.8,2516.76,1446.0,5.0,0.0,6,2.2,0.7,180.0,94.0,1,15,14,3340,618105.0,143,137.0,0,165,0,0,277,31197,12451,72,14,8,3,16.0,1446.0,2.4768756423432685,0,5.0,0.0,503.35200000000003,2,-11.693263003271682,0,4,0
5,0,3,5,2,253.32,253.32,1320.0,2.0,0.0,6,5.2,0.7,360.0,100.0,2,7,5,6843,455941.0,1624,137.0,0,164,0,0,3455,26771,10901,242,0,7,10,5.0,660.0,5.2108005684509715,0,1.0,0.0,126.66,0,-10.216313269493845,1,2,1
6,0,3,1,1,37.56,36.84,201.0,1.0,0.0,6,5.3,0.7,70.0,84.0,2,11,5,3004,1039631.0,647,137.0,0,283,0,0,3218,13253,7469,483,0,6,4,1.0,201.0,5.351437699680511,0,1.0,0.0,36.84,2,-8.593263003271684,1,2,1
7,0,3,2,1,100.34,163.72,170.0,2.0,0.0,6,30.3,0.8,160.0,49.0,2,15,5,1507,819562.0,102,194.0,0,76,0,1,254,41980,349,59,0,15,7,28.0,170.0,1.6942395854096073,0,2.0,0.0,81.86,3,5.562560033409895,0,3,1
8,0,3,2,1,94.86,94.86,507.0,1.0,0.0,6,20.3,1.2,110.0,28.0,2,15,5,913,1834282.0,100,137.0,0,70,0,1,681,11709,9878,45,12,16,11,11.0,507.0,5.34471853257432,0,1.0,0.0,94.86,0,4.883686730506156,0,2,1
9,0,3,2,2,82.98,82.98,443.0,1.0,0.0,6,10.5,0.1,0.0,95.0,2,7,5,3852,361533.0,1316,137.0,0,142,0,0,4112,13921,6677,1003,0,9,11,21.0,221.5,5.338635815859243,0,0.5,0.0,82.98,0,-4.916313269493845,1,2,1
